tm,Q1,T1,Tsp1
59.758050203323364,100.0,30.889,42.0
60.75927519798279,100.0,31.211,42.0
61.75001406669617,100.0,31.565,42.0
62.751214265823364,100.0,31.888,42.0
63.74195313453674,96.80957457366587,32.5,42.0
64.743155002594,98.38845402581029,32.822,42.0
65.73390698432922,96.86906048992105,33.145,42.0
66.73509502410889,95.40165887332275,33.467,42.0
67.72586822509766,93.1255776780153,33.821,42.0
68.72702598571777,91.16926168791683,34.176,42.0
69.71782898902893,85.14610555220744,34.724,42.0
70.95934295654297,86.0043674887017,35.078,42.0
72.28707790374756,80.37148211686088,35.658,42.0
73.4839198589325,79.06175299307634,36.045,42.0
74.86700916290283,75.48673325798026,36.528,42.0
75.91812801361084,70.58289447527328,37.012,42.0
77.62591910362244,67.49690041655214,37.592,42.0
78.96399211883545,65.20695982485513,37.979,42.0
80.54480504989624,60.26728252709961,38.526,42.0
81.8228611946106,57.04000358182415,38.945,42.0
83.29649901390076,55.701760796910726,39.268,42.0
84.83113098144531,47.8980319383027,39.912,42.0
86.06407809257507,46.698326089052486,40.234,42.0
87.30602502822876,43.83762538576651,40.557,42.0
88.6175000667572,41.05716263370276,40.879,42.0
89.82608604431152,37.82127484050827,41.201,42.0
91.01907515525818,34.68025393856345,41.523,42.0
92.5062370300293,30.389160447342388,41.942,42.0
93.83027005195618,28.05489477626882,42.232,42.0
95.32046222686768,23.593706196595793,42.619,42.0
96.9786639213562,21.240343070200705,42.909,42.0
98.56176495552063,18.410017046126335,43.167,42.0
100.59403705596924,15.120551472522521,43.457,42.0
101.87048816680908,10.350745301497565,43.779,42.0
102.87148189544678,12.517210870122884,43.779,42.0
103.86239123344421,5.61100036971224,44.102,42.0
104.86344718933105,8.449788660574,44.102,42.0
105.85433101654053,8.03322109961514,44.102,42.0
106.85635900497437,5.674672524559189,44.198,42.0
107.84630417823792,2.259435335917786,44.392,42.0
108.84829115867615,3.094011109750278,44.424,42.0
109.83727383613586,2.9339177348613887,44.424,42.0
110.8402590751648,2.447670490980162,44.424,42.0
111.82923293113708,1.968215965604795,44.424,42.0
112.83220720291138,1.4819740386486195,44.424,42.0
113.82123613357544,1.0024928130626805,44.424,42.0
114.82416701316833,0.5162719226360437,44.424,42.0
115.81320309638977,0.03678722949029023,44.424,42.0
116.8173520565033,0.0,44.424,42.0
117.80516314506531,0.0,44.424,42.0
118.80926299095154,0.0,44.424,42.0
119.79709815979004,0.0,44.424,42.0
120.8004560470581,1.506578218647642,44.327,42.0
121.78904819488525,3.3501449340521763,44.166,42.0
